Reference,Quantity,Identifier,footprint,Value,Tolerance,Voltage,Current,Power,PN
J2,1,,ice4pi:PinSocket_2x20_P2.54mm_Vertical_1_04mm,Raspberry_Pi_2_3,,,,,SSW-120-01-T-D-006
J3,1,,ice4pi:centronix-24-male,Conn_02x12_Top_Bottom,,,,,112-024-113R001
U6,1,,Package_DIP:DIP-20_W7.62mm,SN75160BN,,,,,SN75160BN 
U7,1,,Package_DIP:DIP-20_W7.62mm,SN75161BN,,,,,SN75161BN 
R111-R118;R211-R218,16,,Resistor_SMD:R_0402_1005Metric,3.3K,,,,,RC0402JR-073K3L
R121-R128;R221-R228,16,,Resistor_SMD:R_0402_1005Metric,6.2K,,,,,RC0402FR-076K2L
"C33,C34",2,,Capacitor_SMD:C_0402_1005Metric,220nF,,,,,GRM155C8YA224KE01J
C7,1,,Capacitor_SMD:C_0402_1005Metric,10uF,,,,,ZRB15XR61A106ME01D
"R3,R4",2,,Resistor_SMD:R_0402_1005Metric,1K,,,,,ERJ-2GEJ102X 
D7,1,,Diode_SMD:D_0603_1608Metric,ACTIVE_LED_GREEN,,,,,150060VS55040
D8,1,,Diode_SMD:D_0603_1608Metric,POWER_LED_RED,,,,,150060RS55040
