Comment,Designator,Footprint,JLCPCB Part #（optional）
3.3K,"R111,R112,R113,R114,R115,R116,R117,R118,R211,R212,R213,R214,R215,R216,R217,R218",R0402,C25890
6.2K,"R121,R122,R123,R124,R125,R126,R127,R128,R221,R222,R223,R224,R225,R226,R227,R228",,C325566
GRM155C8YA224KE01J,"C33,C34",Capacitor_SMD:C_0402_1005Metric,C16772
ZRB15XR61A106ME01D,C7,Capacitor_SMD:C_0402_1005Metric,C527590
ERJ-2GEJ102X ,"R3,R4",Resistor_SMD:R_0402_1005Metric,C11702
150060VS55040,D7,Diode_SMD:D_0603_1608Metric,C72043
150060RS55040,D8,Diode_SMD:D_0603_1608Metric,C2286
SSW-120-01-T-D-006,J2,ice4pi:PinSocket_2x20_P2.54mm_Vertical_1_04mm,C35165
112-024-113R001,J3,ice4pi:centronix-24-male,
SN75160BN ,U6,Package_DIP:DIP-20_W7.62mm, C2328
SN75161BN ,U7,Package_DIP:DIP-20_W7.62mm, C2328
